ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,signal
IID,2019/10/31,2020/6/15,"[11, 52, 70, 84, 100, 123, 130, 150, 156, 161, 169, 176, 186]","[12, 20, 24]","['2019-11-15', '2020-01-16', '2020-02-12', '2020-03-04', '2020-03-26', '2020-04-29', '2020-05-08', '2020-06-08', '2020-06-16', '2020-06-23', '2020-07-06', '2020-07-15', '2020-07-29']","['2020-07-01', '2020-07-14', '2020-07-20']","[1.3461538461538463, 0.15384615384615385, 0.38461538461538464, 0.3076923076923077, 0.23076923076923078, 0.07692307692307693, 0.15384615384615385, 0.0]","[2.0, 1.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0]",28,37,2020/8/10,194,39,0.001885771,T
EGY,2020/6/16,2020/7/9,"[5, 13, 24, 35]",[15],"['2020-06-23', '2020-07-06', '2020-07-21', '2020-08-05']",['2020-07-30'],"[1.925, 1.0, 0.25, 0.5, 0.25, 0.25, 0.25, 0.5]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",35,34,2020/8/10,38,22,0.001901321,T
WIW,2020/5/7,2020/6/15,"[21, 27, 33, 42, 47]","[9, 28]","['2020-06-08', '2020-06-16', '2020-06-24', '2020-07-08', '2020-07-15']","['2020-06-26', '2020-07-24']","[1.96, 1.0, 0.8, 0.0, 0.4, 0.0, 0.0, 0.0]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",29,26,2020/8/10,65,39,0.001922299,T
NRK,2020/5/12,2020/6/22,"[35, 42]",[15],"['2020-07-01', '2020-07-13']",['2020-07-14'],"[3.15, 1.0, 0.5, 0.5, 1.0, 0.0, 0.0, 0.0]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",23,22,2020/8/10,62,34,0.001928675,T
TSI,2020/2/25,2020/4/29,"[8, 21, 25, 34, 72, 111]","[14, 42, 57]","['2020-03-06', '2020-03-25', '2020-03-31', '2020-04-14', '2020-06-08', '2020-08-03']","['2020-05-19', '2020-06-29', '2020-07-21']","[1.5666666666666667, 0.8333333333333334, 0.5, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]","[2.333333333333333, 1.0, 0.6666666666666666, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0]",25,22,2020/8/10,116,71,0.001971107,T
NCV,2019/6/11,2020/6/25,"[16, 50, 64, 84, 105, 110, 137, 147, 169, 184, 203, 210, 216, 224, 250]","[12, 20]","['2019-07-03', '2019-08-21', '2019-09-11', '2019-10-09', '2019-11-07', '2019-11-14', '2019-12-24', '2020-01-09', '2020-02-11', '2020-03-04', '2020-03-31', '2020-04-09', '2020-04-20', '2020-04-30', '2020-06-08']","['2020-07-14', '2020-07-24']","[1.6666666666666667, 0.0, 0.3333333333333333, 0.3333333333333333, 0.4, 0.3333333333333333, 0.13333333333333333, 0.0]","[1.65, 1.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.0]",24,35,2020/8/10,294,31,0.00197563,T
NAD,2020/2/24,2020/6/11,"[9, 25, 35, 54, 70, 75, 84, 97]",[12],"['2020-03-06', '2020-03-30', '2020-04-14', '2020-05-11', '2020-06-03', '2020-06-10', '2020-06-23', '2020-07-13']",['2020-06-29'],"[1.9249999999999998, 0.5, 0.5, 0.5, 0.375, 0.0, 0.125, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",27,28,2020/8/10,117,41,0.001981525,T
IPV,2020/7/20,2020/3/23,[5],"[48, 72, 91]",['2020-07-27'],"['2020-06-01', '2020-07-06', '2020-07-31']","[1.4, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[2.533333333333333, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.0]",6,4,2020/8/10,15,97,0.002002326,T
NEA,2020/5/12,2020/4/3,"[14, 20, 24, 42]","[15, 28, 42, 47, 53]","['2020-06-02', '2020-06-10', '2020-06-16', '2020-07-13']","['2020-04-27', '2020-05-14', '2020-06-04', '2020-06-11', '2020-06-19']","[2.3000000000000003, 1.0, 0.5, 0.25, 0.5, 0.25, 0.25, 0.0]","[1.62, 1.0, 0.4, 0.2, 0.4, 0.0, 0.0, 0.0]",23,24,2020/8/10,62,88,0.002045331,T
JHY,2020/6/22,2020/5/27,"[12, 28]","[11, 35, 48]","['2020-07-09', '2020-07-31']","['2020-06-11', '2020-07-16', '2020-08-04']","[2.3, 1.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.0]","[1.9333333333333333, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",27,32,2020/8/10,34,52,0.002081703,T
